"";"Illness";"Gender";"Age";"Diagnosis";"Residency";"Year";"occurences";"Number of residence"
"1701";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Vestfold og Telemark";"X2016";21;NA
"1702";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Vestfold og Telemark";"X2017";28;NA
"1703";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Vestfold og Telemark";"X2018";24;NA
"1704";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Vestfold og Telemark";"X2019";11;NA
"1705";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Agder";"X2012";13;NA
"1706";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Agder";"X2013";14;NA
"1707";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Agder";"X2014";8;NA
"1708";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Agder";"X2015";7;NA
"1709";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Agder";"X2016";10;NA
"1710";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Agder";"X2017";16;NA
"1711";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Agder";"X2018";14;NA
"1712";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Agder";"X2019";7;NA
"1713";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Rogaland";"X2012";30;NA
"1714";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Rogaland";"X2013";46;NA
"1715";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Rogaland";"X2014";37;NA
"1716";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Rogaland";"X2015";24;NA
"1717";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Rogaland";"X2016";28;NA
"1718";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Rogaland";"X2017";29;NA
"1719";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Rogaland";"X2018";32;NA
"1720";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Rogaland";"X2019";36;NA
"1721";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Vestland";"X2012";44;NA
"1722";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Vestland";"X2013";42;NA
"1723";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Vestland";"X2014";66;NA
"1724";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Vestland";"X2015";45;NA
"1725";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Vestland";"X2016";27;NA
"1726";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Vestland";"X2017";41;NA
"1727";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Vestland";"X2018";38;NA
"1728";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Vestland";"X2019";27;NA
"1729";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"More og Romsdal";"X2012";23;NA
"1730";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"More og Romsdal";"X2013";14;NA
"1731";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"More og Romsdal";"X2014";16;NA
"1732";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"More og Romsdal";"X2015";14;NA
"1733";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"More og Romsdal";"X2016";15;NA
"1734";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"More og Romsdal";"X2017";14;NA
"1735";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"More og Romsdal";"X2018";14;NA
"1736";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"More og Romsdal";"X2019";11;NA
"1737";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Trondelag";"X2012";49;NA
"1738";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Trondelag";"X2013";51;NA
"1739";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Trondelag";"X2014";44;NA
"1740";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Trondelag";"X2015";50;NA
"1741";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Trondelag";"X2016";41;NA
"1742";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Trondelag";"X2017";22;NA
"1743";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Trondelag";"X2018";19;NA
"1744";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Trondelag";"X2019";16;NA
"1745";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Nordland";"X2012";24;NA
"1746";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Nordland";"X2013";20;NA
"1747";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Nordland";"X2014";20;NA
"1748";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Nordland";"X2015";19;NA
"1749";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Nordland";"X2016";20;NA
"1750";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Nordland";"X2017";17;NA
"1751";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Nordland";"X2018";17;NA
"1752";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Nordland";"X2019";7;NA
"1753";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Troms og Finnmark";"X2012";17;NA
"1754";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Troms og Finnmark";"X2013";23;NA
"1755";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Troms og Finnmark";"X2014";21;NA
"1756";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Troms og Finnmark";"X2015";28;NA
"1757";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Troms og Finnmark";"X2016";36;NA
"1758";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Troms og Finnmark";"X2017";17;NA
"1759";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Troms og Finnmark";"X2018";20;NA
"1760";"Akutt hjerteinfarkt";"Mann";"50-69 ";"Kun bidiagnose";"Troms og Finnmark";"X2019";14;NA
"1761";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Oslo";"X2012";259;NA
"1762";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Oslo";"X2013";230;NA
"1763";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Oslo";"X2014";258;NA
"1764";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Oslo";"X2015";268;NA
"1765";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Oslo";"X2016";253;NA
"1766";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Oslo";"X2017";251;NA
"1767";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Oslo";"X2018";241;NA
"1768";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Oslo";"X2019";213;NA
"1769";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Viken";"X2012";669;NA
"1770";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Viken";"X2013";673;NA
"1771";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Viken";"X2014";724;NA
"1772";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Viken";"X2015";671;NA
"1773";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Viken";"X2016";688;NA
"1774";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Viken";"X2017";695;NA
"1775";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Viken";"X2018";725;NA
"1776";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Viken";"X2019";828;NA
"1777";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Innlandet";"X2012";300;NA
"1778";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Innlandet";"X2013";265;NA
"1779";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Innlandet";"X2014";293;NA
"1780";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Innlandet";"X2015";258;NA
"1781";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Innlandet";"X2016";255;NA
"1782";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Innlandet";"X2017";252;NA
"1783";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Innlandet";"X2018";294;NA
"1784";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Innlandet";"X2019";285;NA
"1785";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestfold og Telemark";"X2012";273;NA
"1786";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestfold og Telemark";"X2013";262;NA
"1787";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestfold og Telemark";"X2014";272;NA
"1788";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestfold og Telemark";"X2015";242;NA
"1789";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestfold og Telemark";"X2016";249;NA
"1790";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestfold og Telemark";"X2017";256;NA
"1791";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestfold og Telemark";"X2018";278;NA
"1792";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestfold og Telemark";"X2019";264;NA
"1793";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Agder";"X2012";114;NA
"1794";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Agder";"X2013";110;NA
"1795";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Agder";"X2014";153;NA
"1796";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Agder";"X2015";123;NA
"1797";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Agder";"X2016";122;NA
"1798";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Agder";"X2017";122;NA
"1799";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Agder";"X2018";114;NA
"1800";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Agder";"X2019";109;NA
"1801";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Rogaland";"X2012";247;NA
"1802";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Rogaland";"X2013";219;NA
"1803";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Rogaland";"X2014";207;NA
"1804";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Rogaland";"X2015";229;NA
"1805";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Rogaland";"X2016";243;NA
"1806";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Rogaland";"X2017";230;NA
"1807";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Rogaland";"X2018";216;NA
"1808";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Rogaland";"X2019";230;NA
"1809";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestland";"X2012";385;NA
"1810";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestland";"X2013";377;NA
"1811";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestland";"X2014";350;NA
"1812";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestland";"X2015";350;NA
"1813";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestland";"X2016";357;NA
"1814";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestland";"X2017";353;NA
"1815";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestland";"X2018";367;NA
"1816";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Vestland";"X2019";367;NA
"1817";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"More og Romsdal";"X2012";224;NA
"1818";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"More og Romsdal";"X2013";204;NA
"1819";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"More og Romsdal";"X2014";190;NA
"1820";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"More og Romsdal";"X2015";186;NA
"1821";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"More og Romsdal";"X2016";178;NA
"1822";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"More og Romsdal";"X2017";172;NA
"1823";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"More og Romsdal";"X2018";160;NA
"1824";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"More og Romsdal";"X2019";191;NA
"1825";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Trondelag";"X2012";310;NA
"1826";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Trondelag";"X2013";301;NA
"1827";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Trondelag";"X2014";302;NA
"1828";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Trondelag";"X2015";252;NA
"1829";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Trondelag";"X2016";254;NA
"1830";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Trondelag";"X2017";274;NA
"1831";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Trondelag";"X2018";267;NA
"1832";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Trondelag";"X2019";327;NA
"1833";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Nordland";"X2012";219;NA
"1834";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Nordland";"X2013";195;NA
"1835";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Nordland";"X2014";182;NA
"1836";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Nordland";"X2015";184;NA
"1837";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Nordland";"X2016";201;NA
"1838";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Nordland";"X2017";198;NA
"1839";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Nordland";"X2018";201;NA
"1840";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Nordland";"X2019";184;NA
"1841";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Troms og Finnmark";"X2012";150;NA
"1842";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Troms og Finnmark";"X2013";184;NA
"1843";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Troms og Finnmark";"X2014";155;NA
"1844";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Troms og Finnmark";"X2015";156;NA
"1845";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Troms og Finnmark";"X2016";154;NA
"1846";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Troms og Finnmark";"X2017";153;NA
"1847";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Troms og Finnmark";"X2018";150;NA
"1848";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Hoveddiagnose";"Troms og Finnmark";"X2019";134;NA
"1849";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Oslo";"X2012";85;NA
"1850";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Oslo";"X2013";93;NA
"1851";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Oslo";"X2014";78;NA
"1852";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Oslo";"X2015";67;NA
"1853";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Oslo";"X2016";87;NA
"1854";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Oslo";"X2017";76;NA
"1855";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Oslo";"X2018";73;NA
"1856";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Oslo";"X2019";61;NA
"1857";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Viken";"X2012";200;NA
"1858";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Viken";"X2013";191;NA
"1859";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Viken";"X2014";160;NA
"1860";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Viken";"X2015";172;NA
"1861";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Viken";"X2016";165;NA
"1862";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Viken";"X2017";191;NA
"1863";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Viken";"X2018";156;NA
"1864";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Viken";"X2019";163;NA
"1865";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Innlandet";"X2012";111;NA
"1866";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Innlandet";"X2013";78;NA
"1867";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Innlandet";"X2014";73;NA
"1868";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Innlandet";"X2015";69;NA
"1869";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Innlandet";"X2016";67;NA
"1870";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Innlandet";"X2017";53;NA
"1871";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Innlandet";"X2018";59;NA
"1872";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Innlandet";"X2019";59;NA
"1873";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestfold og Telemark";"X2012";85;NA
"1874";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestfold og Telemark";"X2013";79;NA
"1875";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestfold og Telemark";"X2014";61;NA
"1876";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestfold og Telemark";"X2015";63;NA
"1877";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestfold og Telemark";"X2016";58;NA
"1878";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestfold og Telemark";"X2017";45;NA
"1879";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestfold og Telemark";"X2018";44;NA
"1880";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestfold og Telemark";"X2019";53;NA
"1881";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Agder";"X2012";28;NA
"1882";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Agder";"X2013";27;NA
"1883";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Agder";"X2014";28;NA
"1884";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Agder";"X2015";26;NA
"1885";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Agder";"X2016";24;NA
"1886";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Agder";"X2017";24;NA
"1887";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Agder";"X2018";36;NA
"1888";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Agder";"X2019";25;NA
"1889";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Rogaland";"X2012";84;NA
"1890";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Rogaland";"X2013";112;NA
"1891";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Rogaland";"X2014";98;NA
"1892";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Rogaland";"X2015";119;NA
"1893";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Rogaland";"X2016";105;NA
"1894";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Rogaland";"X2017";137;NA
"1895";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Rogaland";"X2018";108;NA
"1896";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Rogaland";"X2019";92;NA
"1897";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestland";"X2012";87;NA
"1898";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestland";"X2013";100;NA
"1899";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestland";"X2014";87;NA
"1900";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestland";"X2015";93;NA
"1901";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestland";"X2016";94;NA
"1902";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestland";"X2017";92;NA
"1903";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestland";"X2018";85;NA
"1904";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Vestland";"X2019";91;NA
"1905";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"More og Romsdal";"X2012";62;NA
"1906";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"More og Romsdal";"X2013";61;NA
"1907";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"More og Romsdal";"X2014";52;NA
"1908";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"More og Romsdal";"X2015";64;NA
"1909";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"More og Romsdal";"X2016";54;NA
"1910";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"More og Romsdal";"X2017";45;NA
"1911";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"More og Romsdal";"X2018";40;NA
"1912";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"More og Romsdal";"X2019";38;NA
"1913";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Trondelag";"X2012";90;NA
"1914";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Trondelag";"X2013";74;NA
"1915";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Trondelag";"X2014";76;NA
"1916";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Trondelag";"X2015";72;NA
"1917";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Trondelag";"X2016";66;NA
"1918";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Trondelag";"X2017";63;NA
"1919";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Trondelag";"X2018";75;NA
"1920";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Trondelag";"X2019";68;NA
"1921";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Nordland";"X2012";66;NA
"1922";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Nordland";"X2013";56;NA
"1923";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Nordland";"X2014";63;NA
"1924";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Nordland";"X2015";67;NA
"1925";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Nordland";"X2016";58;NA
"1926";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Nordland";"X2017";50;NA
"1927";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Nordland";"X2018";48;NA
"1928";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Nordland";"X2019";34;NA
"1929";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Troms og Finnmark";"X2012";61;NA
"1930";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Troms og Finnmark";"X2013";51;NA
"1931";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Troms og Finnmark";"X2014";43;NA
"1932";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Troms og Finnmark";"X2015";52;NA
"1933";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Troms og Finnmark";"X2016";44;NA
"1934";"Akutt hjerteinfarkt";"Mann";"70-89 ";"Kun bidiagnose";"Troms og Finnmark";"X2017";48;NA
