"";"Illness";"Gender";"Age";"Diagnosis";"Residency";"Year";"occurences"
"1986";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Vestland";"X2013";47
"1987";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Vestland";"X2014";49
"1988";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Vestland";"X2015";48
"1989";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Vestland";"X2016";39
"1990";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Vestland";"X2017";37
"1991";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Vestland";"X2018";31
"1992";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Vestland";"X2019";36
"1993";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"More og Romsdal";"X2012";26
"1994";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"More og Romsdal";"X2013";20
"1995";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"More og Romsdal";"X2014";31
"1996";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"More og Romsdal";"X2015";22
"1997";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"More og Romsdal";"X2016";13
"1998";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"More og Romsdal";"X2017";22
"1999";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"More og Romsdal";"X2018";12
"2000";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"More og Romsdal";"X2019";17
"2001";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Trondelag";"X2012";36
"2002";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Trondelag";"X2013";37
"2003";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Trondelag";"X2014";28
"2004";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Trondelag";"X2015";18
"2005";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Trondelag";"X2016";30
"2006";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Trondelag";"X2017";27
"2007";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Trondelag";"X2018";21
"2008";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Trondelag";"X2019";24
"2009";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Nordland";"X2012";17
"2010";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Nordland";"X2013";17
"2011";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Nordland";"X2014";13
"2012";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Nordland";"X2015";7
"2013";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Nordland";"X2016";13
"2014";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Nordland";"X2017";22
"2015";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Nordland";"X2018";18
"2016";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Nordland";"X2019";12
"2017";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Troms og Finnmark";"X2012";13
"2018";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Troms og Finnmark";"X2013";11
"2019";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Troms og Finnmark";"X2014";9
"2020";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Troms og Finnmark";"X2015";9
"2021";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Troms og Finnmark";"X2016";6
"2022";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Troms og Finnmark";"X2017";9
"2023";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Troms og Finnmark";"X2018";8
"2024";"Akutt hjerteinfarkt";"Mann";"90+ ";"Hoveddiagnose";"Troms og Finnmark";"X2019";6
"2025";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Oslo";"X2012";11
"2026";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Oslo";"X2013";12
"2027";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Oslo";"X2014";22
"2028";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Oslo";"X2015";15
"2029";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Oslo";"X2016";17
"2030";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Oslo";"X2017";13
"2031";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Oslo";"X2018";21
"2032";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Oslo";"X2019";12
"2033";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Viken";"X2012";28
"2034";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Viken";"X2013";29
"2035";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Viken";"X2014";31
"2036";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Viken";"X2015";29
"2037";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Viken";"X2016";27
"2038";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Viken";"X2017";34
"2039";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Viken";"X2018";20
"2040";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Viken";"X2019";26
"2041";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Innlandet";"X2012";10
"2042";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Innlandet";"X2013";18
"2043";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Innlandet";"X2014";14
"2044";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Innlandet";"X2015";13
"2045";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Innlandet";"X2016";8
"2046";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Innlandet";"X2017";14
"2047";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Innlandet";"X2018";7
"2048";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Innlandet";"X2019";14
"2049";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestfold og Telemark";"X2012";19
"2050";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestfold og Telemark";"X2013";15
"2051";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestfold og Telemark";"X2014";19
"2052";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestfold og Telemark";"X2015";16
"2053";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestfold og Telemark";"X2016";10
"2054";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestfold og Telemark";"X2017";16
"2055";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestfold og Telemark";"X2018";6
"2056";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestfold og Telemark";"X2019";13
"2057";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Agder";"X2012";4
"2058";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Agder";"X2013";9
"2059";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Agder";"X2014";6
"2060";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Agder";"X2015";3
"2061";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Agder";"X2016";3
"2062";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Agder";"X2017";4
"2063";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Agder";"X2018";5
"2064";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Agder";"X2019";5
"2065";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Rogaland";"X2012";20
"2066";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Rogaland";"X2013";25
"2067";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Rogaland";"X2014";22
"2068";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Rogaland";"X2015";24
"2069";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Rogaland";"X2016";20
"2070";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Rogaland";"X2017";27
"2071";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Rogaland";"X2018";29
"2072";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Rogaland";"X2019";24
"2073";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestland";"X2012";18
"2074";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestland";"X2013";20
"2075";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestland";"X2014";13
"2076";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestland";"X2015";18
"2077";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestland";"X2016";15
"2078";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestland";"X2017";17
"2079";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestland";"X2018";16
"2080";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Vestland";"X2019";15
"2081";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"More og Romsdal";"X2012";7
"2082";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"More og Romsdal";"X2013";5
"2083";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"More og Romsdal";"X2014";18
"2084";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"More og Romsdal";"X2015";18
"2085";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"More og Romsdal";"X2016";12
"2086";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"More og Romsdal";"X2017";5
"2087";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"More og Romsdal";"X2018";10
"2088";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"More og Romsdal";"X2019";7
"2089";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Trondelag";"X2012";7
"2090";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Trondelag";"X2013";10
"2091";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Trondelag";"X2014";12
"2092";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Trondelag";"X2015";16
"2093";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Trondelag";"X2016";7
"2094";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Trondelag";"X2017";15
"2095";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Trondelag";"X2018";21
"2096";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Trondelag";"X2019";24
"2097";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Nordland";"X2012";13
"2098";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Nordland";"X2013";9
"2099";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Nordland";"X2014";7
"2100";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Nordland";"X2015";11
"2101";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Nordland";"X2016";13
"2102";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Nordland";"X2017";5
"2103";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Nordland";"X2018";13
"2104";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Nordland";"X2019";4
"2105";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Troms og Finnmark";"X2012";7
"2106";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Troms og Finnmark";"X2013";5
"2107";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Troms og Finnmark";"X2014";8
"2108";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Troms og Finnmark";"X2015";7
"2109";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Troms og Finnmark";"X2016";8
"2110";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Troms og Finnmark";"X2017";4
"2111";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Troms og Finnmark";"X2018";6
"2112";"Akutt hjerteinfarkt";"Mann";"90+ ";"Kun bidiagnose";"Troms og Finnmark";"X2019";4
"2113";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Oslo";"X2012";14
"2114";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Oslo";"X2013";20
"2115";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Oslo";"X2014";9
"2116";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Oslo";"X2015";12
"2117";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Oslo";"X2016";21
"2118";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Oslo";"X2017";11
"2119";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Oslo";"X2018";16
"2120";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Oslo";"X2019";15
"2121";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Viken";"X2012";57
"2122";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Viken";"X2013";67
"2123";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Viken";"X2014";38
"2124";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Viken";"X2015";43
"2125";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Viken";"X2016";44
"2126";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Viken";"X2017";39
"2127";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Viken";"X2018";25
"2128";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Viken";"X2019";44
"2129";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Innlandet";"X2012";18
"2130";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Innlandet";"X2013";21
"2131";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Innlandet";"X2014";23
"2132";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Innlandet";"X2015";19
"2133";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Innlandet";"X2016";17
"2134";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Innlandet";"X2017";19
"2135";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Innlandet";"X2018";13
"2136";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Innlandet";"X2019";12
"2137";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2012";25
"2138";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2013";23
"2139";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2014";19
"2140";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2015";22
"2141";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2016";17
"2142";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2017";12
"2143";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2018";14
"2144";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2019";17
"2145";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Agder";"X2012";10
"2146";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Agder";"X2013";10
"2147";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Agder";"X2014";6
"2148";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Agder";"X2015";11
"2149";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Agder";"X2016";11
"2150";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Agder";"X2017";14
"2151";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Agder";"X2018";7
"2152";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Agder";"X2019";5
"2153";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Rogaland";"X2012";15
"2154";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Rogaland";"X2013";16
"2155";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Rogaland";"X2014";15
"2156";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Rogaland";"X2015";22
"2157";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Rogaland";"X2016";22
"2158";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Rogaland";"X2017";13
"2159";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Rogaland";"X2018";13
"2160";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Rogaland";"X2019";7
"2161";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestland";"X2012";18
"2162";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestland";"X2013";9
"2163";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestland";"X2014";17
"2164";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestland";"X2015";14
"2165";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestland";"X2016";14
"2166";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestland";"X2017";18
"2167";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestland";"X2018";14
"2168";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Vestland";"X2019";9
"2169";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2012";16
"2170";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2013";7
"2171";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2014";9
"2172";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2015";5
"2173";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2016";9
"2174";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2017";5
"2175";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2018";10
"2176";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2019";8
"2177";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Trondelag";"X2012";14
"2178";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Trondelag";"X2013";20
"2179";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Trondelag";"X2014";14
"2180";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Trondelag";"X2015";13
"2181";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Trondelag";"X2016";15
"2182";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Trondelag";"X2017";17
"2183";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Trondelag";"X2018";13
"2184";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Trondelag";"X2019";13
"2185";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Nordland";"X2012";11
"2186";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Nordland";"X2013";11
"2187";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Nordland";"X2014";17
"2188";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Nordland";"X2015";12
"2189";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Nordland";"X2016";8
"2190";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Nordland";"X2017";7
"2191";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Nordland";"X2018";6
"2192";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Nordland";"X2019";12
"2193";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2012";9
"2194";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2013";11
"2195";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2014";8
"2196";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2015";7
"2197";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2016";9
"2198";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2017";7
"2199";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2018";7
"2200";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2019";9
"2201";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Oslo";"X2012";2
"2202";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Oslo";"X2013";1
"2203";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Oslo";"X2014";4
"2204";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Oslo";"X2015";5
"2205";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Oslo";"X2016";2
"2206";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Oslo";"X2017";2
"2207";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Oslo";"X2018";0
"2208";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Oslo";"X2019";0
"2209";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Viken";"X2012";4
"2210";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Viken";"X2013";4
"2211";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Viken";"X2014";3
"2212";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Viken";"X2015";5
"2213";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Viken";"X2016";1
"2214";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Viken";"X2017";8
"2215";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Viken";"X2018";3
"2216";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Viken";"X2019";1
"2217";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Innlandet";"X2012";2
"2218";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Innlandet";"X2013";2
"2219";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Innlandet";"X2014";2
"2220";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Innlandet";"X2015";1
"2221";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Innlandet";"X2016";3
"2222";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Innlandet";"X2017";0
"2223";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Innlandet";"X2018";2
"2224";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Innlandet";"X2019";0
"2225";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2012";1
"2226";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2013";2
"2227";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2014";4
"2228";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2015";0
"2229";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2016";4
"2230";"Akutt hjerteinfarkt";"Kvinne";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2017";0
